Date,PRECTOT,T2M,RH2M,WS2M,Location,District,Latitude,Longitude,Cloudburst,Year,Month,MonthName,Season,Rainfall_Intensity,Humidity_Rainfall,Heat_Index
2014-09-03,5.95,7.35,88.28,3.28,Dharali (Uttarkashi),Uttarkashi,31.04,78.73,0,2014,9,Sep,Monsoon,,,
2023-09-28,0.0,3.97,57.92,2.29,Dharali (Uttarkashi),Uttarkashi,31.04,78.73,0,2023,9,Sep,Monsoon,,,
2008-09-20,116.33,20.84,96.15,4.12,Almora (Almora),Almora,29.6,79.66,1,2008,9,Sep,Monsoon,,,
1990-05-28,0.01,21.29,24.66,3.13,Bageshwar (Bageshwar),Bageshwar,29.83,79.77,0,1990,5,May,Spring,,,
1990-09-08,148.99,22.32,89.94,1.75,Srinagar (Pauri Garhwal),Pauri Garhwal,30.22,78.77,1,1990,9,Sep,Monsoon,,,
2010-03-02,0.0,15.39,43.9,3.41,Pithoragarh Town (Pithoragarh),Pithoragarh,29.58,80.22,0,2010,3,Mar,Spring,,,
2004-02-09,0.19,-0.89,65.71,2.4,Mandakini Valley (Rudraprayag),Rudraprayag,30.45,79.2,0,2004,2,Feb,Winter,,,
2019-08-19,3.9,16.36,82.25,1.66,Arakot (Uttarkashi),Uttarkashi,30.88,78.2,1,2019,8,Aug,Monsoon,,,
1999-05-01,0.0,26.92,12.12,3.21,Pithoragarh Town (Pithoragarh),Pithoragarh,29.58,80.22,0,1999,5,May,Spring,,,
2013-11-21,0.0,2.25,53.1,1.63,Mandakini Valley (Rudraprayag),Rudraprayag,30.45,79.2,0,2013,11,Nov,Autumn,,,
1995-05-27,0.0,20.42,16.42,3.08,Munsiyari (Pithoragarh),Pithoragarh,30.07,80.24,0,1995,5,May,Spring,,,
1996-01-09,0.0,3.8,34.65,1.8,Arakot (Uttarkashi),Uttarkashi,30.88,78.2,0,1996,1,Jan,Winter,,,
2021-11-24,0.0,8.11,46.72,1.59,Bageshwar (Bageshwar),Bageshwar,29.83,79.77,0,2021,11,Nov,Autumn,,,
2013-06-15,113.1,17.68,87.36,1.69,Tehri (Tehri Garhwal),Tehri Garhwal,30.38,78.49,1,2013,6,Jun,Monsoon,,,
2013-06-25,134.33,23.6,91.52,1.93,Nainital (Nainital),Nainital,29.38,79.45,1,2013,6,Jun,Monsoon,,,
2021-10-18,200.54,19.23,88.06,1.91,Almora (Almora),Almora,29.6,79.66,1,2021,10,Oct,Autumn,,,
2023-12-29,0.0,8.37,44.2,1.65,Tehri (Tehri Garhwal),Tehri Garhwal,30.38,78.49,0,2023,12,Dec,Winter,,,
2001-05-06,0.0,26.38,24.72,3.01,Pauri (Pauri Garhwal),Pauri Garhwal,30.15,78.78,0,2001,5,May,Spring,,,
2001-05-26,1.06,11.91,50.59,2.95,Karnaprayag (Chamoli),Chamoli,30.27,79.21,0,2001,5,May,Spring,,,
2020-09-15,5.5,21.45,88.55,2.48,Champawat (Champawat),Champawat,29.34,80.09,0,2020,9,Sep,Monsoon,,,
2016-02-12,0.01,2.22,56.45,2.21,Arakot (Uttarkashi),Uttarkashi,30.88,78.2,0,2016,2,Feb,Winter,,,
1994-11-18,0.0,13.5,45.21,1.93,Devprayag (Tehri Garhwal),Tehri Garhwal,30.15,78.6,0,1994,11,Nov,Autumn,,,
2013-06-25,162.88,21.64,94.45,2.29,Pithoragarh Town (Pithoragarh),Pithoragarh,29.58,80.22,1,2013,6,Jun,Monsoon,,,
1998-06-06,0.0,28.8,21.65,4.0,Pauri (Pauri Garhwal),Pauri Garhwal,30.15,78.78,0,1998,6,Jun,Monsoon,,,
1991-10-02,0.0,19.73,43.65,2.02,Pithoragarh Town (Pithoragarh),Pithoragarh,29.58,80.22,0,1991,10,Oct,Autumn,,,
2009-08-12,0.18,24.12,83.93,1.97,Mussoorie (Dehradun),Dehradun,30.45,78.07,1,2009,8,Aug,Monsoon,,,
2021-04-15,0.0,17.31,34.2,3.37,Tehri (Tehri Garhwal),Tehri Garhwal,30.38,78.49,0,2021,4,Apr,Spring,,,
1998-11-09,0.28,2.15,65.3,2.12,Kedarnath (Rudraprayag),Rudraprayag,30.735,79.066,0,1998,11,Nov,Autumn,,,
2002-10-29,0.0,3.92,46.76,2.25,Karnaprayag (Chamoli),Chamoli,30.27,79.21,0,2002,10,Oct,Autumn,,,
2023-09-11,6.12,23.08,84.48,1.99,Almora (Almora),Almora,29.6,79.66,0,2023,9,Sep,Monsoon,,,
2011-06-30,135.81,20.98,88.75,1.6,Pithoragarh Town (Pithoragarh),Pithoragarh,29.58,80.22,1,2011,6,Jun,Monsoon,,,
1998-08-16,4.72,13.38,82.54,1.93,Malpa (Pithoragarh),Pithoragarh,30.23,80.72,1,1998,8,Aug,Monsoon,,,
2017-07-12,13.14,16.93,90.92,2.43,Munsiyari (Pithoragarh),Pithoragarh,30.07,80.24,1,2017,7,Jul,Monsoon,,,
2016-09-28,0.07,10.71,83.87,2.54,Badrinath (Chamoli),Chamoli,30.74,79.49,0,2016,9,Sep,Monsoon,,,
2022-08-31,0.82,9.39,79.71,2.41,Dharali (Uttarkashi),Uttarkashi,31.04,78.73,0,2022,8,Aug,Monsoon,,,
2013-06-16,119.62,6.51,96.84,6.25,Dharali (Uttarkashi),Uttarkashi,31.04,78.73,1,2013,6,Jun,Monsoon,,,
2008-05-15,0.05,11.64,48.66,2.93,Mandakini Valley (Rudraprayag),Rudraprayag,30.45,79.2,0,2008,5,May,Spring,,,
2007-12-02,0.0,10.98,47.2,1.72,Champawat (Champawat),Champawat,29.34,80.09,0,2007,12,Dec,Winter,,,
