Date,PRECTOT,T2M,RH2M,WS2M,Location,District,Latitude,Longitude,Cloudburst,Year,Month,MonthName,Season,Rainfall_Intensity,Humidity_Rainfall,Heat_Index,T2M_lag1,RH2M_lag1,WS2M_lag1,PRECTOT_lag1,PRECTOT_3d_mean,RH2M_3d_mean,T2M_3d_mean,Temperature_Change,Humidity_Change,Month_sin,Month_cos,Cloudburst_Next,Predicted_Probability,Predicted_Cloudburst,Risk_Level
1992-09-01,1.67,24.37,86.89,1.77,Almora (Almora),Almora,29.6,79.66,0,1992,9,Sep,Monsoon,,,28.5375,23.63,86.37,1.79,106.45,54.06,86.63,24.0,0.740000000000002,0.519999999999996,-1.0,-1.8369701987210297e-16,0,0.11833333333333333,0,Low
1995-09-13,2.46,22.05,86.88,1.88,Almora (Almora),Almora,29.6,79.66,0,1995,9,Sep,Monsoon,,,26.206000000000003,24.37,86.89,1.77,1.67,36.86,86.71333333333332,23.349999999999998,-2.3200000000000003,-0.010000000000005116,-1.0,-1.8369701987210297e-16,0,0.5033333333333333,1,Medium
1999-01-14,0.0,10.51,42.39,2.19,Almora (Almora),Almora,29.6,79.66,0,1999,1,Jan,Winter,,,12.4105,22.05,86.88,1.88,2.46,1.3766666666666667,72.05333333333333,18.97666666666667,-11.540000000000001,-44.489999999999995,0.49999999999999994,0.8660254037844387,1,0.715,1,High
2002-08-11,125.11,23.36,94.0,2.71,Almora (Almora),Almora,29.6,79.66,1,2002,8,Aug,Monsoon,,,27.788999999999998,10.51,42.39,2.19,0.0,42.52333333333333,74.42333333333333,18.64,12.85,51.61,-0.8660254037844385,-0.5000000000000004,0,0.21333333333333335,0,Low
2004-01-27,0.0,8.58,53.59,2.39,Almora (Almora),Almora,29.6,79.66,0,2004,1,Jan,Winter,,,11.0205,23.36,94.0,2.71,125.11,41.70333333333333,63.32666666666666,14.15,-14.78,-40.41,0.49999999999999994,0.8660254037844387,0,0.07,0,Low
2004-03-16,0.0,22.37,30.4,3.57,Almora (Almora),Almora,29.6,79.66,0,2004,3,Mar,Spring,,,23.533,8.58,53.59,2.39,0.0,41.70333333333333,59.330000000000005,18.103333333333335,13.790000000000001,-23.190000000000005,1.0,6.123233995736766e-17,1,0.745,1,High
2004-06-18,105.57,23.43,85.09,1.71,Almora (Almora),Almora,29.6,79.66,1,2004,6,Jun,Monsoon,,,27.5135,22.37,30.4,3.57,0.0,35.19,56.36000000000001,18.12666666666667,1.0599999999999987,54.690000000000005,1.2246467991473532e-16,-1.0,1,0.7533333333333333,1,High
2008-09-20,116.33,20.84,96.15,4.12,Almora (Almora),Almora,29.6,79.66,1,2008,9,Sep,Monsoon,,,25.235500000000002,23.43,85.09,1.71,105.57,73.96666666666665,70.54666666666667,22.213333333333335,-2.59,11.060000000000002,-1.0,-1.8369701987210297e-16,0,0.08,0,Low
2010-01-19,0.0,11.43,32.12,2.68,Almora (Almora),Almora,29.6,79.66,0,2010,1,Jan,Winter,,,12.767999999999999,20.84,96.15,4.12,116.33,73.96666666666665,71.12,18.566666666666666,-9.41,-64.03,0.49999999999999994,0.8660254037844387,0,0.06833333333333333,0,Low
2010-02-12,2.49,11.95,57.82,2.15,Almora (Almora),Almora,29.6,79.66,0,2010,2,Feb,Winter,,,14.626,11.43,32.12,2.68,0.0,39.60666666666666,62.03,14.74,0.5199999999999996,25.700000000000003,0.8660254037844386,0.5000000000000001,1,0.7916666666666666,1,High
2010-07-30,127.5,22.67,93.77,3.57,Almora (Almora),Almora,29.6,79.66,1,2010,7,Jul,Monsoon,,,27.001500000000004,11.95,57.82,2.15,2.49,43.330000000000005,61.23666666666666,15.35,10.720000000000002,35.949999999999996,-0.4999999999999997,-0.8660254037844388,1,0.8133333333333334,1,High
2010-09-18,53.49,20.81,89.7,2.17,Almora (Almora),Almora,29.6,79.66,1,2010,9,Sep,Monsoon,,,25.078,22.67,93.77,3.57,127.5,61.16,80.42999999999999,18.476666666666667,-1.860000000000003,-4.069999999999993,-1.0,-1.8369701987210297e-16,1,0.7216666666666667,1,High
2010-09-19,68.23,20.67,88.74,1.87,Almora (Almora),Almora,29.6,79.66,1,2010,9,Sep,Monsoon,,,24.92,20.81,89.7,2.17,53.49,83.07333333333334,90.73666666666666,21.383333333333336,-0.13999999999999702,-0.960000000000008,-1.0,-1.8369701987210297e-16,1,0.77,1,High
2010-09-20,8.65,21.98,83.9,2.09,Almora (Almora),Almora,29.6,79.66,1,2010,9,Sep,Monsoon,,,25.966,20.67,88.74,1.87,68.23,43.45666666666667,87.44666666666667,21.153333333333336,1.3099999999999987,-4.839999999999989,-1.0,-1.8369701987210297e-16,1,0.2615,0,Low
2011-06-30,106.83,23.9,83.24,1.83,Almora (Almora),Almora,29.6,79.66,1,2011,6,Jun,Monsoon,,,27.878999999999998,21.98,83.9,2.09,8.65,61.23666666666667,85.29333333333334,22.183333333333334,1.9199999999999982,-0.6600000000000108,1.2246467991473532e-16,-1.0,0,0.06642857142857143,0,Low
2012-09-13,18.28,22.71,95.49,3.53,Almora (Almora),Almora,29.6,79.66,0,2012,9,Sep,Monsoon,,,27.1315,23.9,83.24,1.83,106.83,44.58666666666667,87.54333333333334,22.863333333333333,-1.1899999999999977,12.25,-1.0,-1.8369701987210297e-16,0,0.13166666666666665,0,Low
2013-01-26,0.0,10.97,48.31,2.42,Almora (Almora),Almora,29.6,79.66,0,2013,1,Jan,Winter,,,13.1435,22.71,95.49,3.53,18.28,41.70333333333334,75.68,19.19333333333333,-11.74,-47.17999999999999,0.49999999999999994,0.8660254037844387,1,0.675,1,High
2013-06-25,134.33,23.6,91.52,1.93,Almora (Almora),Almora,29.6,79.66,1,2013,6,Jun,Monsoon,,,27.983,10.97,48.31,2.42,0.0,50.870000000000005,78.44,19.093333333333337,12.63,43.209999999999994,1.2246467991473532e-16,-1.0,0,0.04666666666666667,0,Low
2013-12-22,1.36,10.8,75.4,2.65,Almora (Almora),Almora,29.6,79.66,0,2013,12,Dec,Winter,,,14.305,23.6,91.52,1.93,134.33,45.23000000000002,71.74333333333333,15.123333333333335,-12.8,-16.11999999999999,-2.4492935982947064e-16,1.0,0,0.09833333333333333,0,Low
2014-07-17,24.05,24.9,84.17,2.11,Almora (Almora),Almora,29.6,79.66,0,2014,7,Jul,Monsoon,,,28.8975,10.8,75.4,2.65,1.36,53.24666666666668,83.69666666666667,19.766666666666666,14.099999999999998,8.769999999999996,-0.4999999999999997,-0.8660254037844388,0,0.058333333333333334,0,Low
